"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2025";"0000";"31,1";"31,7";"31,1";"46,0";"49,0";"45,0";"18,0";"19,3";"17,9";"992,4";"992,4";"991,8";"0,0";"102,0";"0,0";"";"0,0"
"01/01/2025";"0100";"31,2";"31,4";"31,0";"42,0";"46,0";"42,0";"16,9";"17,9";"16,8";"993,0";"993,0";"992,4";"0,0";"100,0";"0,0";"";"0,0"
"01/01/2025";"0200";"30,7";"31,2";"30,5";"47,0";"47,0";"42,0";"18,0";"18,1";"16,9";"993,3";"993,4";"993,0";"0,0";"89,0";"0,0";"";"0,0"
"01/01/2025";"0300";"29,9";"30,7";"29,7";"50,0";"51,0";"47,0";"18,3";"18,5";"17,9";"993,5";"993,6";"993,3";"0,0";"104,0";"0,0";"";"0,0"
"01/01/2025";"0400";"29,3";"29,9";"29,3";"52,0";"53,0";"50,0";"18,5";"18,6";"18,2";"993,4";"993,6";"993,4";"0,0";"115,0";"0,0";"";"0,0"
"01/01/2025";"0500";"28,9";"29,3";"28,6";"53,0";"55,0";"52,0";"18,3";"18,6";"18,2";"993,1";"993,5";"993,1";"0,0";"116,0";"0,0";"";"0,0"
"01/01/2025";"0600";"27,8";"28,9";"27,5";"59,0";"62,0";"53,0";"19,1";"19,9";"18,2";"993,0";"993,1";"992,9";"0,0";"126,0";"0,0";"";"0,0"
"01/01/2025";"0700";"27,2";"28,4";"26,0";"64,0";"74,0";"57,0";"19,9";"21,1";"19,0";"993,0";"993,1";"992,9";"0,0";"118,0";"0,0";"";"0,0"
"01/01/2025";"0800";"26,1";"27,7";"25,1";"72,0";"80,0";"60,0";"20,8";"21,6";"19,4";"993,3";"993,3";"993,0";"0,0";"95,0";"0,0";"";"0,0"
"01/01/2025";"0900";"25,9";"26,9";"25,9";"76,0";"76,0";"67,0";"21,2";"21,4";"19,8";"994,1";"994,1";"993,3";"0,0";"97,0";"0,0";"";"0,0"
"01/01/2025";"1000";"27,0";"27,0";"25,8";"68,0";"77,0";"68,0";"20,7";"21,5";"20,6";"994,9";"994,9";"994,1";"0,0";"123,0";"0,0";"63,80";"0,0"
"01/01/2025";"1100";"29,0";"29,0";"27,0";"62,0";"68,0";"62,0";"21,0";"21,8";"20,6";"995,7";"995,7";"994,9";"0,0";"19,0";"0,0";"654,70";"0,0"
"01/01/2025";"1200";"29,6";"29,6";"28,6";"66,0";"68,0";"62,0";"22,7";"22,8";"20,9";"996,1";"996,1";"995,7";"0,0";"310,0";"0,0";"1576,60";"0,0"
"01/01/2025";"1300";"32,4";"32,4";"29,6";"61,0";"69,0";"59,0";"24,0";"24,1";"22,6";"996,1";"996,2";"996,0";"0,0";"343,0";"0,5";"2384,30";"0,0"
"01/01/2025";"1400";"33,8";"33,9";"32,1";"51,0";"61,0";"51,0";"22,4";"24,0";"22,2";"996,1";"996,3";"996,0";"0,0";"329,0";"1,0";"3056,50";"0,0"
"01/01/2025";"1500";"35,1";"35,4";"33,5";"45,0";"53,0";"45,0";"21,3";"23,2";"21,3";"995,8";"996,1";"995,8";"0,0";"357,0";"1,4";"3506,10";"0,0"
"01/01/2025";"1600";"34,7";"36,0";"34,7";"46,0";"49,0";"40,0";"21,3";"22,5";"20,1";"995,2";"995,8";"995,2";"0,0";"360,0";"0,3";"3360,60";"0,0"
"01/01/2025";"1700";"35,5";"36,9";"34,5";"42,0";"46,0";"37,0";"20,7";"21,8";"19,2";"994,3";"995,2";"994,3";"0,0";"359,0";"1,0";"2913,20";"0,0"
"01/01/2025";"1800";"37,0";"37,2";"35,5";"34,0";"43,0";"33,0";"18,7";"21,5";"17,9";"993,4";"994,3";"993,3";"0,0";"329,0";"0,6";"3356,00";"0,0"
"01/01/2025";"1900";"36,5";"37,1";"36,1";"34,0";"41,0";"32,0";"18,0";"20,9";"17,6";"992,3";"993,4";"992,3";"0,0";"19,0";"1,1";"2756,30";"0,0"
"01/01/2025";"2000";"34,2";"37,0";"33,6";"44,0";"46,0";"33,0";"20,1";"20,7";"17,9";"991,3";"992,3";"991,3";"0,0";"91,0";"0,5";"2129,10";"0,0"
"01/01/2025";"2100";"33,5";"34,2";"33,1";"49,0";"50,0";"43,0";"21,5";"21,7";"19,3";"990,5";"991,3";"990,5";"0,0";"82,0";"0,5";"1270,70";"0,0"
"01/01/2025";"2200";"33,0";"33,8";"33,0";"51,0";"51,0";"47,0";"21,6";"21,8";"20,9";"990,4";"990,6";"990,4";"0,0";"89,0";"0,0";"451,80";"0,0"
"01/01/2025";"2300";"32,2";"33,0";"32,0";"56,0";"58,0";"51,0";"22,4";"22,6";"21,7";"991,1";"991,1";"990,4";"0,0";"111,0";"0,0";"18,00";"0,0"
"02/01/2025";"0000";"32,2";"32,3";"32,1";"54,0";"56,0";"53,0";"21,5";"22,4";"21,4";"992,2";"992,2";"991,1";"0,0";"107,0";"2,6";"";"0,0"
"02/01/2025";"0100";"31,5";"32,2";"31,5";"56,0";"56,0";"53,0";"21,8";"21,8";"21,5";"993,4";"993,4";"992,2";"0,0";"104,0";"0,1";"";"0,0"
"02/01/2025";"0200";"31,2";"31,7";"31,1";"57,0";"58,0";"56,0";"21,8";"21,9";"21,7";"994,4";"994,4";"993,3";"0,0";"119,0";"0,1";"";"0,0"
"02/01/2025";"0300";"30,9";"31,2";"30,8";"58,0";"58,0";"57,0";"21,7";"21,8";"21,6";"994,7";"994,8";"994,4";"0,0";"115,0";"0,1";"";"0,0"
"02/01/2025";"0400";"29,9";"30,9";"29,9";"63,0";"64,0";"58,0";"22,2";"22,3";"21,6";"994,6";"994,7";"994,5";"0,0";"81,0";"0,0";"";"0,0"
"02/01/2025";"0500";"29,8";"29,9";"29,7";"64,0";"64,0";"63,0";"22,1";"22,2";"21,9";"994,3";"994,7";"994,2";"0,0";"113,0";"0,0";"";"0,0"
"02/01/2025";"0600";"29,5";"29,8";"29,3";"68,0";"69,0";"64,0";"22,8";"23,0";"22,2";"994,5";"994,6";"994,3";"0,0";"100,0";"0,0";"";"0,0"
"02/01/2025";"0700";"29,2";"29,6";"29,2";"68,0";"69,0";"63,0";"22,6";"23,0";"21,7";"994,2";"994,7";"994,1";"0,0";"18,0";"0,0";"";"0,0"
"02/01/2025";"0800";"28,9";"29,2";"28,5";"65,0";"69,0";"65,0";"21,6";"22,4";"21,6";"994,0";"994,3";"994,0";"0,0";"249,0";"0,0";"";"0,0"
"02/01/2025";"0900";"28,3";"29,2";"28,3";"68,0";"68,0";"63,0";"21,9";"21,9";"21,5";"993,6";"994,0";"993,5";"0,0";"287,0";"0,0";"";"0,0"
"02/01/2025";"1000";"28,0";"28,3";"28,0";"70,0";"70,0";"68,0";"22,1";"22,1";"21,9";"995,1";"995,1";"993,5";"0,0";"277,0";"0,0";"52,00";"0,0"
"02/01/2025";"1100";"27,7";"28,1";"27,7";"72,0";"72,0";"69,0";"22,2";"22,2";"21,9";"996,0";"996,0";"995,1";"0,0";"300,0";"0,0";"192,10";"0,0"
"02/01/2025";"1200";"28,8";"28,8";"27,7";"67,0";"72,0";"66,0";"22,0";"22,2";"21,7";"997,0";"997,0";"996,0";"0,0";"178,0";"0,0";"408,00";"0,0"
"02/01/2025";"1300";"30,3";"30,3";"28,8";"61,0";"68,0";"61,0";"21,9";"22,4";"21,8";"997,5";"997,5";"997,0";"0,0";"153,0";"0,0";"978,90";"0,0"
"02/01/2025";"1400";"28,6";"30,7";"27,9";"72,0";"73,0";"60,0";"23,1";"23,6";"21,8";"997,2";"997,5";"997,2";"0,0";"83,0";"0,7";"1879,90";"0,0"
"02/01/2025";"1500";"28,4";"28,7";"28,0";"71,0";"74,0";"71,0";"22,6";"23,0";"22,5";"996,4";"997,2";"996,4";"0,0";"83,0";"0,9";"2260,90";"0,0"
"02/01/2025";"1600";"29,7";"29,8";"28,3";"65,0";"71,0";"63,0";"22,3";"23,1";"21,7";"995,9";"996,5";"995,9";"0,0";"95,0";"0,7";"2463,10";"0,0"
"02/01/2025";"1700";"32,4";"32,6";"29,7";"55,0";"66,0";"55,0";"22,2";"24,1";"22,1";"995,4";"996,0";"995,4";"0,0";"41,0";"0,1";"2834,70";"0,0"
"02/01/2025";"1800";"30,3";"33,4";"30,2";"58,0";"60,0";"51,0";"21,1";"24,0";"19,9";"994,4";"995,4";"994,3";"0,0";"297,0";"0,9";"2283,00";"0,0"
"02/01/2025";"1900";"29,0";"30,3";"28,7";"62,0";"66,0";"58,0";"20,9";"21,7";"20,6";"993,9";"994,4";"993,6";"0,0";"267,0";"0,2";"424,00";"0,0"
"02/01/2025";"2000";"29,4";"29,6";"28,6";"58,0";"65,0";"56,0";"20,4";"21,5";"19,7";"993,4";"994,1";"993,4";"0,0";"267,0";"0,3";"204,60";"0,0"
"02/01/2025";"2100";"27,6";"29,4";"27,6";"74,0";"74,0";"56,0";"22,5";"22,9";"19,8";"994,6";"994,6";"993,2";"0,0";"84,0";"0,0";"101,40";"0,0"
"02/01/2025";"2200";"27,7";"27,9";"27,4";"75,0";"76,0";"72,0";"22,9";"22,9";"22,2";"995,1";"995,1";"994,4";"0,0";"237,0";"1,0";"25,00";"0,0"
"02/01/2025";"2300";"27,6";"27,9";"27,4";"68,0";"78,0";"66,0";"21,0";"23,2";"20,7";"994,4";"995,3";"994,4";"0,0";"210,0";"0,3";"1,40";"0,0"
"03/01/2025";"0000";"26,8";"27,6";"26,8";"75,0";"75,0";"68,0";"22,0";"22,0";"21,0";"994,5";"994,9";"994,5";"0,0";"111,0";"0,1";"";"0,0"
"03/01/2025";"0100";"25,5";"26,8";"25,4";"81,0";"82,0";"75,0";"22,1";"22,3";"21,9";"996,0";"996,0";"994,5";"0,0";"61,0";"0,0";"";"0,0"
"03/01/2025";"0200";"25,7";"25,7";"25,0";"79,0";"83,0";"79,0";"21,9";"22,1";"21,7";"997,0";"997,0";"996,0";"0,0";"192,0";"0,0";"";"0,0"
"03/01/2025";"0300";"25,3";"25,9";"25,3";"81,0";"81,0";"78,0";"21,8";"22,0";"21,4";"997,3";"997,3";"997,0";"0,0";"285,0";"0,0";"";"0,0"
"03/01/2025";"0400";"26,1";"26,1";"25,3";"76,0";"82,0";"75,0";"21,4";"22,0";"21,3";"996,3";"997,3";"996,2";"0,0";"161,0";"0,0";"";"0,0"
