"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"24/10/2024";"0000";"23,8";"23,9";"23,7";"77,0";"79,0";"77,0";"19,5";"20,1";"19,5";"947,2";"947,4";"946,7";"4,2";"211,0";"8,5";"";"0,0"
"24/10/2024";"0100";"23,3";"23,8";"23,3";"78,0";"78,0";"77,0";"19,2";"19,5";"19,2";"948,2";"948,2";"947,2";"2,6";"193,0";"8,0";"";"0,0"
"24/10/2024";"0200";"21,8";"23,5";"21,8";"78,0";"78,0";"75,0";"17,8";"19,2";"17,6";"949,3";"949,9";"948,2";"2,1";"344,0";"10,1";"";"0,2"
"24/10/2024";"0300";"21,4";"21,8";"21,0";"90,0";"90,0";"78,0";"19,7";"19,7";"18,0";"948,2";"949,3";"948,2";"1,1";"256,0";"5,8";"";"0,6"
"24/10/2024";"0400";"21,5";"21,6";"21,4";"92,0";"92,0";"90,0";"20,2";"20,3";"19,7";"947,3";"948,2";"946,9";"2,0";"226,0";"4,9";"";"0,6"
"24/10/2024";"0500";"21,9";"21,9";"21,5";"89,0";"92,0";"89,0";"19,9";"20,3";"19,9";"946,7";"947,5";"946,6";"3,4";"212,0";"7,3";"";"0,6"
"24/10/2024";"0600";"22,3";"22,3";"21,8";"84,0";"89,0";"84,0";"19,5";"19,9";"19,5";"946,6";"946,8";"946,2";"2,8";"207,0";"7,5";"0,80";"0,0"
"24/10/2024";"0700";"22,0";"22,3";"22,0";"86,0";"86,0";"84,0";"19,5";"19,6";"19,4";"946,6";"946,8";"946,4";"2,7";"197,0";"5,8";"0,50";"0,0"
"24/10/2024";"0800";"22,1";"22,1";"21,9";"86,0";"86,0";"86,0";"19,6";"19,6";"19,4";"946,8";"946,8";"946,6";"2,9";"194,0";"5,6";"1,00";"0,0"
"24/10/2024";"0900";"22,8";"22,8";"22,0";"84,0";"86,0";"84,0";"19,9";"19,9";"19,5";"947,2";"947,3";"946,8";"2,2";"184,0";"6,0";"200,40";"0,0"
"24/10/2024";"1000";"23,3";"23,4";"22,8";"81,0";"84,0";"80,0";"19,8";"20,1";"19,5";"947,4";"947,5";"947,2";"2,7";"128,0";"6,4";"687,90";"0,0"
"24/10/2024";"1100";"24,1";"25,4";"23,3";"79,0";"81,0";"72,0";"20,2";"20,7";"19,6";"947,9";"947,9";"947,2";"3,7";"129,0";"7,9";"1345,30";"0,6"
"24/10/2024";"1200";"23,6";"24,1";"22,5";"91,0";"92,0";"79,0";"22,0";"22,0";"20,0";"947,2";"948,0";"947,0";"2,6";"143,0";"8,1";"417,60";"9,2"
"24/10/2024";"1300";"28,0";"28,2";"23,6";"66,0";"91,0";"66,0";"21,0";"22,7";"20,9";"946,7";"947,2";"946,6";"3,4";"116,0";"7,7";"2463,50";"0,0"
"24/10/2024";"1400";"30,3";"30,9";"27,9";"56,0";"69,0";"54,0";"20,6";"22,2";"20,0";"946,0";"946,7";"946,0";"3,7";"117,0";"8,5";"3447,30";"0,0"
"24/10/2024";"1500";"32,9";"32,9";"29,9";"48,0";"57,0";"47,0";"20,4";"21,7";"19,6";"944,5";"946,0";"944,5";"3,4";"72,0";"10,1";"3200,40";"0,0"
"24/10/2024";"1600";"30,6";"33,0";"26,2";"62,0";"77,0";"45,0";"22,5";"22,9";"19,2";"943,1";"944,5";"943,1";"2,3";"97,0";"10,4";"2177,00";"0,8"
"24/10/2024";"1700";"25,6";"31,2";"24,6";"69,0";"71,0";"53,0";"19,5";"22,2";"17,9";"942,2";"943,1";"942,2";"0,6";"277,0";"16,3";"1031,20";"0,2"
"24/10/2024";"1800";"30,2";"30,2";"25,6";"53,0";"69,0";"52,0";"19,6";"20,9";"18,9";"940,5";"942,2";"940,4";"1,9";"121,0";"4,3";"2258,70";"0,0"
"24/10/2024";"1900";"28,6";"30,2";"28,3";"61,0";"61,0";"52,0";"20,3";"20,5";"19,0";"940,3";"940,9";"940,3";"2,4";"127,0";"7,2";"1220,40";"0,0"
"24/10/2024";"2000";"26,6";"29,1";"26,6";"71,0";"72,0";"60,0";"20,8";"21,4";"20,2";"940,9";"941,0";"940,3";"3,1";"150,0";"7,5";"603,20";"0,0"
"24/10/2024";"2100";"25,8";"26,6";"25,8";"76,0";"76,0";"70,0";"21,3";"21,3";"20,8";"941,4";"941,4";"940,9";"2,3";"164,0";"7,8";"65,00";"0,0"
"24/10/2024";"2200";"25,5";"25,9";"25,5";"75,0";"77,0";"75,0";"20,8";"21,4";"20,8";"941,8";"941,9";"941,4";"1,4";"137,0";"4,6";"";"0,0"
"24/10/2024";"2300";"25,6";"25,6";"25,3";"76,0";"77,0";"75,0";"20,9";"21,0";"20,8";"942,7";"942,8";"941,8";"1,4";"191,0";"4,2";"";"0,0"
"25/10/2024";"0000";"22,7";"25,6";"22,7";"81,0";"82,0";"75,0";"19,3";"21,4";"19,0";"943,8";"944,3";"942,7";"1,5";"41,0";"8,4";"";"2,4"
"25/10/2024";"0100";"22,4";"23,7";"22,3";"89,0";"89,0";"81,0";"20,4";"20,5";"19,2";"944,2";"944,9";"943,6";"0,3";"217,0";"7,3";"0,80";"1,2"
"25/10/2024";"0200";"22,4";"22,7";"22,4";"91,0";"91,0";"89,0";"20,9";"21,1";"20,5";"943,7";"944,8";"943,7";"0,8";"123,0";"3,1";"";"0,0"
"25/10/2024";"0300";"22,5";"22,7";"22,4";"91,0";"91,0";"91,0";"21,0";"21,2";"20,9";"943,5";"944,0";"943,4";"0,0";"64,0";"3,1";"";"0,0"
"25/10/2024";"0400";"22,7";"22,7";"22,4";"92,0";"92,0";"91,0";"21,3";"21,4";"21,0";"943,4";"943,5";"943,0";"0,9";"164,0";"2,0";"";"0,0"
"25/10/2024";"0500";"22,4";"22,7";"22,4";"92,0";"92,0";"91,0";"21,0";"21,3";"21,0";"943,4";"943,5";"943,1";"2,6";"134,0";"5,6";"0,40";"0,0"
"25/10/2024";"0600";"22,0";"22,4";"22,0";"94,0";"94,0";"92,0";"21,0";"21,1";"20,9";"943,9";"943,9";"943,4";"1,8";"103,0";"6,2";"0,80";"0,0"
"25/10/2024";"0700";"22,0";"22,0";"21,9";"95,0";"95,0";"94,0";"21,2";"21,2";"21,0";"943,9";"944,0";"943,7";"1,5";"101,0";"3,6";"";"0,0"
"25/10/2024";"0800";"22,3";"22,3";"22,0";"96,0";"96,0";"95,0";"21,5";"21,5";"21,2";"944,6";"944,6";"943,9";"1,7";"83,0";"4,2";"";"0,0"
"25/10/2024";"0900";"22,5";"22,5";"22,2";"96,0";"96,0";"96,0";"21,8";"21,8";"21,5";"945,9";"945,9";"944,6";"0,9";"85,0";"3,5";"47,10";"0,0"
"25/10/2024";"1000";"23,5";"23,5";"22,5";"95,0";"96,0";"95,0";"22,6";"22,6";"21,8";"946,6";"946,6";"945,9";"1,2";"51,0";"3,0";"302,20";"0,0"
"25/10/2024";"1100";"24,5";"24,7";"23,5";"84,0";"95,0";"84,0";"21,7";"23,1";"21,6";"947,2";"947,2";"946,6";"1,4";"33,0";"2,9";"866,20";"0,0"
"25/10/2024";"1200";"24,9";"25,1";"24,5";"76,0";"85,0";"76,0";"20,5";"21,8";"20,3";"947,6";"947,6";"947,2";"1,8";"23,0";"5,8";"1030,20";"0,0"
"25/10/2024";"1300";"26,6";"26,6";"24,5";"69,0";"79,0";"67,0";"20,4";"21,5";"19,6";"947,6";"947,8";"947,6";"2,9";"4,0";"6,1";"2484,60";"0,0"
"25/10/2024";"1400";"28,2";"28,4";"26,4";"60,0";"69,0";"59,0";"19,6";"20,7";"19,1";"947,2";"947,6";"947,2";"2,3";"33,0";"6,9";"3806,90";"0,0"
"25/10/2024";"1500";"29,4";"29,8";"27,4";"57,0";"64,0";"53,0";"20,0";"20,6";"18,6";"946,5";"947,2";"946,5";"2,1";"67,0";"6,2";"3561,10";"0,0"
"25/10/2024";"1600";"30,2";"30,6";"29,3";"45,0";"58,0";"43,0";"17,0";"20,7";"16,3";"945,8";"946,5";"945,8";"3,5";"35,0";"7,2";"3441,30";"0,0"
"25/10/2024";"1700";"30,1";"31,2";"30,0";"48,0";"50,0";"43,0";"18,0";"18,9";"16,1";"945,3";"945,8";"945,3";"2,8";"65,0";"9,1";"2581,60";"0,0"
"25/10/2024";"1800";"31,3";"31,3";"29,9";"47,0";"50,0";"43,0";"18,6";"19,2";"17,1";"944,7";"945,3";"944,7";"2,3";"49,0";"7,5";"2155,60";"0,0"
"25/10/2024";"1900";"30,7";"31,4";"29,9";"47,0";"49,0";"43,0";"18,0";"18,6";"16,8";"944,7";"944,7";"944,6";"2,1";"46,0";"8,1";"1678,70";"0,0"
"25/10/2024";"2000";"29,5";"30,7";"29,5";"50,0";"51,0";"45,0";"18,0";"18,5";"17,1";"944,8";"944,8";"944,7";"1,7";"50,0";"6,6";"775,50";"0,0"
